run,log_file,idx,vt_s,dt_s,action,channel,x,y,result
1,r01_20260912_222346.jsonl,0,0.0,0.0,enter,,,,
1,r01_20260912_222346.jsonl,1,5.0,5.0,measure,1,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,2,11.0,6.0,measure,2,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,3,17.0,6.0,measure,3,0.0,0.0,direction
1,r01_20260912_222346.jsonl,4,23.0,6.0,measure,4,0.0,0.0,direction
1,r01_20260912_222346.jsonl,5,29.0,6.0,measure,5,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,6,35.0,6.0,measure,6,0.0,0.0,direction
1,r01_20260912_222346.jsonl,7,41.0,6.0,measure,7,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,8,47.0,6.0,measure,8,0.0,0.0,direction
1,r01_20260912_222346.jsonl,9,53.0,6.0,measure,9,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,10,59.0,6.0,measure,10,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,11,65.0,6.0,measure,11,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,12,71.0,6.0,measure,12,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,13,77.0,6.0,measure,13,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,14,83.0,6.0,measure,14,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,15,89.0,6.0,measure,15,0.0,0.0,direction
1,r01_20260912_222346.jsonl,16,95.0,6.0,measure,16,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,17,101.0,6.0,measure,17,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,18,107.0,6.0,measure,18,0.0,0.0,direction
1,r01_20260912_222346.jsonl,19,113.0,6.0,measure,19,0.0,0.0,no_signal
1,r01_20260912_222346.jsonl,20,119.0,6.0,measure,20,0.0,0.0,direction
1,r01_20260912_222346.jsonl,21,195.0,76.0,measure,18,152.826,314.872,direction
1,r01_20260912_222346.jsonl,22,201.0,6.0,measure,3,152.826,314.872,direction
1,r01_20260912_222346.jsonl,23,207.0,6.0,measure,4,152.826,314.872,direction
1,r01_20260912_222346.jsonl,24,213.0,6.0,measure,6,152.826,314.872,direction
1,r01_20260912_222346.jsonl,25,219.0,6.0,measure,8,152.826,314.872,direction
1,r01_20260912_222346.jsonl,26,225.0,6.0,measure,15,152.826,314.872,direction
1,r01_20260912_222346.jsonl,27,231.0,6.0,measure,20,152.826,314.872,direction
1,r01_20260912_222346.jsonl,28,261.0,30.0,measure,18,265.263,356.799,direction
1,r01_20260912_222346.jsonl,29,290.0,29.0,measure,18,343.117,448.116,direction
1,r01_20260912_222346.jsonl,30,316.539,26.539,clear,18,438.936,497.278,success
1,r01_20260912_222346.jsonl,31,346.539,30.0,measure,6,327.561,541.95,direction
1,r01_20260912_222346.jsonl,32,407.264,60.725,clear,6,305.499,819.698,success
1,r01_20260912_222346.jsonl,33,560.605,153.342,clear,8,-16.664,151.61,success
1,r01_20260912_222346.jsonl,34,605.044,44.439,measure,15,16.19,340.975,direction
1,r01_20260912_222346.jsonl,35,698.506,93.462,clear,15,446.037,481.746,no_target_in_range
1,r01_20260912_222346.jsonl,36,708.026,9.52,clear,15,468.286,477.78,success
1,r01_20260912_222346.jsonl,37,780.137,72.111,measure,4,137.954,489.884,direction
1,r01_20260912_222346.jsonl,38,830.851,50.714,measure,4,-40.967,632.123,direction
1,r01_20260912_222346.jsonl,39,920.053,89.202,clear,4,-447.088,776.466,no_target_in_range
1,r01_20260912_222346.jsonl,40,927.582,7.529,clear,4,-424.442,776.419,no_target_in_range
1,r01_20260912_222346.jsonl,41,937.653,10.071,clear,4,-449.442,801.419,no_target_in_range
1,r01_20260912_222346.jsonl,42,949.724,12.071,clear,4,-474.442,776.419,success
1,r01_20260912_222346.jsonl,43,1025.724,76.0,measure,20,-188.624,574.409,no_signal
1,r01_20260912_222346.jsonl,44,1100.724,75.0,measure,20,-47.333,254.195,no_signal
1,r01_20260912_222346.jsonl,45,1175.724,75.0,measure,20,220.856,29.307,direction
1,r01_20260912_222346.jsonl,46,1238.734,63.01,measure,20,358.477,-226.015,direction
1,r01_20260912_222346.jsonl,47,1281.857,43.122,measure,20,492.458,-361.596,direction
1,r01_20260912_222346.jsonl,48,1311.257,29.4,measure,20,556.502,-465.436,direction
1,r01_20260912_222346.jsonl,49,1362.746,51.489,measure,20,627.975,-686.622,direction
1,r01_20260912_222346.jsonl,50,1387.575,24.829,clear,20,657.945,-592.115,success
1,r01_20260912_222346.jsonl,51,1417.575,30.0,measure,3,729.359,-688.552,direction
1,r01_20260912_222346.jsonl,52,1435.567,17.992,clear,3,718.348,-762.697,no_target_in_range
1,r01_20260912_222346.jsonl,53,1443.766,8.199,clear,3,744.226,-760.225,no_target_in_range
